voting_id,voting_external_id,voting_date,voting_affair_external_id,voting_affair_number,voting_title_fr,voting_url_fr,voting_results_yes,voting_results_no,voting_results_abstention,voting_affair_title_fr,Référence,type_vote,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
142673,030107_AN-PL13360A-012,2023-12-15 15:28:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement du Conseil d'Etat et de Mme de Chastonay et cosignataires, programme M01, nature 30, +240 638 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-012.pdf,32.0,62.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142672,030107_AN-PL13360A-011,2023-12-15 14:58:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement de Mme Marti et cosignataires, programme L02, nature 30, +115 134 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-011.pdf,29.0,55.0,1.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142671,030107_AN-PL13360A-010,2023-12-15 14:35:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement du Conseil d'Etat, programme K01, nature 30, +231 163 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-010.pdf,74.0,21.0,1.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142670,030107_AN-PL13360A-009,2023-12-15 11:49:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement de Mme Marti et cosignataires, programme J01, nature 30, +2 319 482 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-009.pdf,33.0,59.0,4.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142669,030107_AN-PL13360A-008,2023-12-15 10:40:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement de Mme Marti et cosignataires, programme H01, nature 30, +586 212 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-008.pdf,33.0,63.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142668,030107_AN-PL13360A-007,2023-12-15 09:33:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement de Mme Marti et cosignataires, programme G01, nature 30, +193 508 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-007.pdf,33.0,64.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142667,030107_AN-PL13360A-006,2023-12-15 08:21:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement de M. Carasso et cosignataires, programme F01.01, nature 30, +4 000 000 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-006.pdf,46.0,49.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142666,030107_AN-PL13360A-005,2023-12-14 22:24:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement de Mme de Chastonay et cosignataires, programme E02, nature 30, +337 929 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-005.pdf,31.0,59.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142665,030107_AN-PL13360A-004,2023-12-14 21:46:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement du Conseil d'Etat, programme D01, nature 30, +128 340 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-004.pdf,33.0,61.0,0.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
142664,030107_AN-PL13360A-003,2023-12-14 21:34:00,PL 13360,PL 13360,"PL 13360-A (budget 2024), vote nominal : 2e débat Amendement du Conseil d'Etat, programme C02, nature 31, +651 970 francs",https://ge.ch/grandconseil/data/odj/030107/AN-PL13360A-003.pdf,34.0,62.0,1.0,Projet de loi du. Conseil d'Etat établissant le budget administratif de l'Etat de Genève pour l'exercice 2024 (LBu-2024) (D 3 70),D 3 70,PL,Loi établissant le budget administratif de l’Etat de Genève pour l’exercice 2025 (LBu-2025),D,D 3,Impôts et taxes,Finances et contributions
