person_external_id,person_fullname,person_firstname,person_lastname,person_party_fr,person_website_parliament_url_fr,person_image_url,person_birthday,person_occupation_fr,person_gender,person_function_latest_fr
2494,Denis Chiaradonna,Denis,Chiaradonna,S,https://ge.ch/grandconseil/gc/depute/2494/,https://ge.ch/grandconseil/data/deputes/depute_photo_cdda9d6b2891da924d38ab4e6c8b79be.jpg,1976-01-01,Juriste / Transports publics genevois,m,
2489,Marta Julia Macchiavelli,Marta Julia,Macchiavelli,Ve,https://ge.ch/grandconseil/gc/depute/2489/,https://ge.ch/grandconseil/data/deputes/depute_photo_b42a0b63cc6f859f329f7f396d923508.jpg,1964-01-01,"Journaliste, consultante en communication et marketing digital, genre et développement",f,
2492,Corinne Müller Sontag,Corinne,Müller Sontag,Ve,https://ge.ch/grandconseil/gc/depute/2492/,https://ge.ch/grandconseil/data/deputes/depute_photo_6cc8908bc41ce24e991048ded70d4703.jpg,1971-01-01,"Administratrice, Musée Ariana",f,
2487,Sophie Desbiolles,Sophie,Desbiolles,Ve,https://ge.ch/grandconseil/gc/depute/2487/,https://ge.ch/grandconseil/data/deputes/depute_photo_ec0abcd1c996222696b0be7f818bc4d2.jpg,1992-01-01,Etudiante,f,
2485,Ruth Bänziger,Ruth,Bänziger,Ve,https://ge.ch/grandconseil/gc/depute/2485/,https://ge.ch/grandconseil/data/deputes/depute_photo_530209258770dc32156af717255b61be.jpg,1965-01-01,"Collaboratrice scientifique, Office fédéral de l’environnement",f,
2488,Fabienne Fischer,Fabienne,Fischer,Ve,https://ge.ch/grandconseil/gc/depute/2488/,https://ge.ch/grandconseil/data/deputes/depute_photo_e7a545371f76ce500147706564bf1bc2.jpg,1961-01-01,Avocate,f,
2486,Esther Schaufelberger,Esther,Schaufelberger,Ve,https://ge.ch/grandconseil/gc/depute/2486/,https://ge.ch/grandconseil/data/deputes/depute_photo_7721cebc81ef5960a5e9a581aa988c09.jpg,1968-01-01,"Ethnologue, spécialiste en philanthropie, CICR",f,
2483,Glenna Baillon-Lopez,Glenna,Baillon-Lopez,S,https://ge.ch/grandconseil/gc/depute/2483/,https://ge.ch/grandconseil/data/deputes/depute_photo_76af64ca9087e6a9c20a3ebc21ef3a3a.jpg,1972-01-01,Juriste,f,
2484,Guilhem Kokot,Guilhem,Kokot,S,https://ge.ch/grandconseil/gc/depute/2484/,https://ge.ch/grandconseil/data/deputes/depute_photo_db104a93c2d8f5279a44002f997a5f93.jpg,1995-01-01,Etudiant en sciences de l’éducation,m,
2482,Helena Rigotti,Helena,Rigotti,PLR,https://ge.ch/grandconseil/gc/depute/2482/,https://ge.ch/grandconseil/data/deputes/depute_photo_e5a030bfe695df1eafda8f755fc64184.jpg,1969-01-01,Administratrice - Restauratrice (indépendante),f,
